Time Flow_BTPS O2 CO2 N2 MMss SampleFlow MMms DelayO2 DelayMMss
975 0.81456006 20.87235 0.08253 78.11079 28.57132 -0.00357081 29.17203 0.56583 0.64423
980 0.81274243 20.87297 0.08253 78.11018 28.57142 -0.00357441 29.17181 0.56596 0.64417
985 0.81095331 20.87388 0.08253 78.10928 28.57159 -0.00357770 29.17155 0.56604 0.64405
990 0.80921118 20.87507 0.08253 78.10811 28.57182 -0.00358044 29.17128 0.56607 0.64407
995 0.80749573 20.87668 0.08253 78.10651 28.57213 -0.00358310 29.17098 0.56590 0.64409
1000 0.80575690 20.87849 0.08253 78.10473 28.57248 -0.00358589 29.17064 0.56574 0.64429
1005 0.80399640 20.88047 0.08253 78.10277 28.57287 -0.00358829 29.17028 0.56562 0.64417
1010 0.80223187 20.88260 0.08253 78.10066 28.57324 -0.00359053 29.16991 0.56550 0.64406
1015 0.80049823 20.88486 0.08253 78.09843 28.57362 -0.00359282 29.16953 0.56538 0.64412
1020 0.79881848 20.88721 0.08253 78.09611 28.57401 -0.00359493 29.16912 0.56528 0.64420
1025 0.79720477 20.88964 0.08253 78.09370 28.57437 -0.00359684 29.16871 0.56520 0.64413
1030 0.79563788 20.89231 0.08254 78.09107 28.57469 -0.00359857 29.16828 0.56517 0.64410
1035 0.79410901 20.89498 0.08254 78.08843 28.57496 -0.00359963 29.16784 0.56533 0.64426
1040 0.79260712 20.89766 0.08254 78.08578 28.57520 -0.00360023 29.16740 0.56532 0.64425
1045 0.79115070 20.90033 0.08254 78.08315 28.57543 -0.00360107 29.16697 0.56531 0.64423
1050 0.78979126 20.90298 0.08254 78.08053 28.57565 -0.00360190 29.16652 0.56527 0.64420
1055 0.78855219 20.90559 0.08254 78.07795 28.57583 -0.00360222 29.16607 0.56523 0.64415
1060 0.78739691 20.90815 0.08254 78.07542 28.57599 -0.00360230 29.16566 0.56519 0.64412
1065 0.78626910 20.91065 0.08254 78.07295 28.57615 -0.00360213 29.16526 0.56516 0.64408
1070 0.78516180 20.91306 0.08254 78.07056 28.57631 -0.00360196 29.16487 0.56530 0.64405
1075 0.78408453 20.91558 0.08254 78.06807 28.57647 -0.00360158 29.16450 0.56543 0.64400
1080 0.78309650 20.91799 0.08254 78.06569 28.57665 -0.00360100 29.16415 0.56573 0.64395
1085 0.78218329 20.92030 0.08254 78.06341 28.57685 -0.00360025 29.16381 0.56568 0.64375
1090 0.78135468 20.92251 0.08254 78.06123 28.57707 -0.00359939 29.16348 0.56566 0.64356
1095 0.78059161 20.92463 0.08254 78.05913 28.57733 -0.00359818 29.16314 0.56583 0.64371
1100 0.77988696 20.92666 0.08254 78.05713 28.57759 -0.00359664 29.16285 0.56597 0.64382
1105 0.77924335 20.92859 0.08254 78.05521 28.57786 -0.00359527 29.16256 0.56587 0.64388
1110 0.77866309 20.93043 0.08254 78.05340 28.57813 -0.00359385 29.16229 0.56573 0.64393
1115 0.77813574 20.93218 0.08254 78.05167 28.57837 -0.00359265 29.16200 0.56578 0.64382
1120 0.77766144 20.93383 0.08254 78.05003 28.57858 -0.00359096 29.16175 0.56570 0.64378
1125 0.77721637 20.93539 0.08254 78.04850 28.57877 -0.00358903 29.16149 0.56570 0.64379
1130 0.77681653 20.93685 0.08254 78.04706 28.57892 -0.00358761 29.16126 0.56574 0.64365
1135 0.77645569 20.93821 0.08254 78.04572 28.57901 -0.00358673 29.16105 0.56578 0.64350
1140 0.77612708 20.93928 0.08254 78.04465 28.57907 -0.00358569 29.16080 0.56578 0.64350
1145 0.77584344 20.94026 0.08254 78.04368 28.57906 -0.00358430 29.16053 0.56576 0.64348
1150 0.77560626 20.94113 0.08254 78.04282 28.57899 -0.00358331 29.16028 0.56574 0.64364
1155 0.77540900 20.94168 0.08254 78.04227 28.57887 -0.00358224 29.16002 0.56575 0.64384
